 # H4
  
           4  atoms
           1  atom types
 
      0.000000000000       4.302490000000  xlo xhi
      0.000000000000       4.111262878743  ylo yhi
      0.000000000000       3.949217331217  zlo zhi
      0.335916720655       0.203892076977      -0.085437999499  xy xz yz
 
Masses
 
            1   1.00800000              # H
 
Atoms # charge
 
         1    1   0.000000        4.678745669050       4.006939359683       3.923865148984
         2    1   0.000000        0.300443626018       1.898641150400       1.864897251963
         3    1   0.000000        2.524740978824       3.958116885867       1.787350420447
         4    1   0.000000        2.593159671460       2.044921390854       3.765564721479
